# User Profiles for Traffic Generation
# Format: UserType:UserID:Name:Department:MAC:Description

remote_worker:sarah.martinez:Sarah Martinez:Engineering:00:1B:44:11:3A:B7:Video conferencing, cloud sync, development tools
gamer:alex.chen:Alex Chen:Personal:00:1E:58:55:6D:EA:Gaming servers, streaming, voice chat, large downloads
student:jordan.taylor:Jordan Taylor:Student:00:1C:25:33:4B:C8:Streaming, social media, research, online learning
business:michael.johnson:Michael Johnson:Sales:00:1D:72:44:5C:D9:Email, CRM, document sharing, business tools
marketing:emma.davis:Emma Davis:Marketing:00:1F:A4:66:7E:FB:Social media, analytics, advertising, content research
designer:ryan.wu:Ryan Wu:Design:00:2A:95:77:8F:1C:Design tools, inspiration, portfolios, creative resources

# Traffic Patterns by User Type:
# remote_worker: Video calls, cloud storage, development tools, heavy web usage
# gamer: Game servers, voice chat, streaming platforms, large downloads
# student: Streaming services, social media, research, online learning platforms
# business: Email, CRM systems, document collaboration, light web browsing
# marketing: Social media management, analytics tools, advertising platforms
# designer: Creative tools, inspiration sites, portfolio platforms, media downloads 
